id,name,lat,lon,district,category,type,year_start,year_complete,osm_highway,source,investment_bty,description,status,impact_radius_km,osm_in_2018,osm_in_2025
POC-001,Cầu Ba Son (Thủ Thiêm 2),10.7875,106.7095,Quận 1 / TP Thủ Đức,bridge,new_construction,2015,2022,primary,VnExpress 04/2022,3100,Cable-stayed bridge 1.4km 6 lanes connects Tôn Đức Thắng (D1) to Thủ Thiêm (D2). Renamed from Cầu Thủ Thiêm 2 on Dec 2022.,completed,3.0,FALSE,TRUE
POC-002,Tuyến Metro số 1 (Bến Thành - Suối Tiên),10.7885,106.6980,Quận 1 / TP Thủ Đức,metro,new_construction,2012,2024,railway,VnExpress 12/2024,43700,19.7km metro line 14 stations (3 underground 11 elevated). First metro in Vietnam. Opened Dec 22 2024.,completed,15.0,FALSE,TRUE
POC-003,Ga Bến Thành,10.7725,106.6980,Quận 1,metro_station,new_construction,2014,2024,railway,VnExpress 12/2024,,Underground terminal station at Ben Thanh Market. Interchange hub for future Lines 2 3a 4.,completed,2.0,FALSE,TRUE
POC-004,Ga Nhà hát Thành phố,10.7768,106.7035,Quận 1,metro_station,new_construction,2014,2024,railway,VnExpress 12/2024,,Underground station near Municipal Theatre on Đồng Khởi/Lê Lợi area.,completed,1.5,FALSE,TRUE
POC-005,Ga Ba Son,10.7835,106.7100,Quận 1,metro_station,new_construction,2015,2024,railway,VnExpress 12/2024,,Last underground station before elevated section at former Ba Son shipyard near Saigon River.,completed,1.5,FALSE,TRUE
POC-006,Ga Văn Thánh,10.7920,106.7160,Quận Bình Thạnh,metro_station,new_construction,2015,2024,railway,VnExpress 12/2024,,First elevated station after Saigon River crossing on Xa lộ Hà Nội corridor.,completed,1.0,FALSE,TRUE
POC-007,Ga Thảo Điền,10.8020,106.7310,TP Thủ Đức,metro_station,new_construction,2015,2024,railway,VnExpress 12/2024,,Elevated station in Thảo Điền ward on Xa lộ Hà Nội.,completed,1.0,FALSE,TRUE
POC-008,Ga An Phú,10.8025,106.7450,TP Thủ Đức,metro_station,new_construction,2015,2024,railway,VnExpress 12/2024,,Elevated station near An Phú intersection on Xa lộ Hà Nội.,completed,1.0,FALSE,TRUE
POC-009,Nút giao An Phú,10.8030,106.7520,TP Thủ Đức,interchange,new_construction,2022,2026,trunk,VnExpress 03/2023; vietnam.vn 2026,3400,Multi-level interchange 3 levels at Xa lộ Hà Nội and HCMC-Long Thành expressway. ~70% complete. Delayed to Q2/2026.,in_progress,5.0,FALSE,FALSE
POC-010,Đường R1 Khu đô thị mới Thủ Thiêm,10.7880,106.7210,TP Thủ Đức,road_new,new_construction,2018,2023,secondary,Tuổi Trẻ 2022,,Arc Boulevard in Thu Thiem New Urban Area ~3.5km 6 lanes connecting central area to Mai Chí Thọ.,completed,2.0,FALSE,TRUE
POC-011,Đường R2 Khu đô thị mới Thủ Thiêm,10.7860,106.7250,TP Thủ Đức,road_new,new_construction,2019,2023,secondary,Pháp Luật TP.HCM 2022,,Central Lakeside Road in Thu Thiem ~2.5km 4 lanes parallel to R1.,completed,1.5,FALSE,TRUE
POC-012,Đại lộ Mai Chí Thọ mở rộng,10.7900,106.7350,TP Thủ Đức,road_expansion,upgrade,2018,2021,trunk,VnExpress 2020,,Traffic improvements and service road additions along Mai Chí Thọ 4.5km 8-10 lanes. Connects Thu Thiem Tunnel to expressway.,completed,3.0,TRUE,TRUE
POC-013,Chỉnh trang đường Tôn Đức Thắng,10.7810,106.7050,Quận 1,road_expansion,upgrade,2019,2022,primary,Người Lao Động 2020,,Sidewalk renovation drainage improvements traffic flow optimization ~2km D1 riverfront. Associated with Metro Line 1 restoration.,completed,1.0,TRUE,TRUE
POC-014,Đường ven sông Sài Gòn (đoạn Thủ Thiêm),10.7850,106.7180,TP Thủ Đức,road_new,new_construction,2020,2024,tertiary,Tuổi Trẻ 2023,,Saigon Riverside Road (R3) in Thu Thiem ~2km connecting waterfront to internal road network.,completed,1.5,FALSE,TRUE
POC-015,Cầu Thủ Thiêm 1 (nâng cấp giao thông),10.7935,106.7220,Quận Bình Thạnh / TP Thủ Đức,bridge,upgrade,2020,2023,primary,Tuổi Trẻ 2022,,Traffic management upgrades on existing Thủ Thiêm Bridge 1 1.2km 6 lanes. Signal and lane optimization post-Metro construction.,completed,3.0,TRUE,TRUE
POC-016,Cầu Phú Hữu (Rạch Chiếc Vành đai Đông),10.832,106.768,Thủ Đức (Quận 9 cũ),bridge,new_construction,2015,2016,trunk,VnExpress 01/2016,,"4-lane, 541m bridge on Eastern Ring Road over Rạch Chiếc, three arch spans, investment 871 billion VND; renamed Phú Hữu in 2016.",completed,2.0,TRUE,TRUE
